Provider,PotentialFraud,AttendingPhysician
PRV56046,No,PHY372395
PRV56046,No,PHY324689
PRV56046,No,PHY324689
PRV56046,No,PHY372395
PRV56046,No,PHY324689
PRV56046,No,PHY372395
PRV56046,No,PHY324689
PRV56046,No,PHY324689
PRV56046,No,PHY324689
PRV56046,No,PHY324689
PRV56046,No,PHY324689
PRV56046,No,PHY372395
PRV56046,No,PHY372395
PRV56046,No,PHY324689
PRV52405,No,PHY369659
PRV52405,No,PHY392961
PRV52405,No,PHY369659
PRV52405,No,PHY423095
PRV52405,No,PHY325656
PRV52405,No,PHY423095
PRV52405,No,PHY325656
PRV52405,No,PHY417126
PRV52405,No,PHY360985
PRV52405,No,PHY369659
PRV52405,No,PHY423095
PRV52405,No,PHY325656
PRV52405,No,PHY325656
PRV52405,No,PHY369659
PRV52405,No,PHY325656
PRV52405,No,PHY349768
PRV52405,No,PHY423095
PRV52405,No,PHY325656
PRV52405,No,PHY325656
PRV52405,No,PHY423095
PRV52405,No,PHY349768
PRV52405,No,PHY360985
PRV56614,No,PHY379376
PRV56614,No,PHY338104
PRV56614,No,PHY338104
PRV56614,No,PHY338104
PRV56614,No,PHY409320
PRV56614,No,PHY337499
PRV56614,No,PHY379376
PRV56614,No,PHY365274
PRV56614,No,PHY325432
PRV56614,No,PHY339831
PRV56614,No,PHY409320
PRV56614,No,PHY365274
PRV56614,No,PHY325432
PRV56614,No,PHY365274
PRV56614,No,PHY325432
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY313651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY358999
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY428678
PRV54986,Yes,PHY428678
PRV54986,Yes,
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY417097
PRV54986,Yes,PHY314651
PRV54986,Yes,
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY414363
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY341679
PRV54986,Yes,PHY414363
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY379942
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY358999
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY404819
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY423055
PRV54986,Yes,PHY414363
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY379942
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY379484
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY414363
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY352533
PRV54986,Yes,PHY428678
PRV54986,Yes,PHY428678
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY424346
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY427528
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY358999
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY379942
PRV54986,Yes,PHY404819
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY414363
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY379942
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY379358
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY379484
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY425150
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY414363
PRV54986,Yes,PHY341679
PRV54986,Yes,PHY379358
PRV54986,Yes,PHY423055
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY379484
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY358999
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY428678
PRV54986,Yes,PHY352533
PRV54986,Yes,PHY313651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY379942
PRV54986,Yes,PHY358999
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY423055
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY342205
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY420098
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY428678
PRV54986,Yes,PHY404819
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY324509
PRV54986,Yes,PHY314651
PRV54986,Yes,PHY402711
PRV54986,Yes,PHY352533
PRV54090,No,PHY412314
PRV54090,No,PHY338043
PRV54090,No,PHY411548
PRV54090,No,PHY338043
PRV54090,No,PHY430003
PRV54090,No,PHY369007
PRV54090,No,PHY430003
PRV54090,No,PHY338043
PRV54090,No,PHY338043
PRV54090,No,PHY430003
PRV54090,No,PHY412314
PRV54090,No,PHY338043
PRV54090,No,PHY430003
PRV54090,No,PHY338043
PRV54090,No,PHY412314
PRV54090,No,PHY430003
PRV54090,No,PHY411548
PRV54090,No,PHY412314
PRV54090,No,PHY411548
PRV54090,No,PHY411548
PRV54090,No,PHY430003
PRV54090,No,PHY430003
PRV54090,No,PHY430003
PRV54090,No,PHY430003
PRV54090,No,PHY412314
PRV54090,No,PHY412314
PRV54090,No,PHY412314
PRV54090,No,PHY338043
PRV54090,No,PHY338043
PRV54090,No,PHY411548
PRV54090,No,PHY338043
PRV54090,No,PHY412314
PRV51148,Yes,PHY346286
PRV51148,Yes,PHY415755
PRV51148,Yes,PHY316416
PRV51148,Yes,PHY419980
PRV51148,Yes,PHY348622
PRV51148,Yes,PHY406643
PRV51148,Yes,PHY382221
PRV51148,Yes,PHY410109
PRV51148,Yes,PHY371785
PRV51148,Yes,PHY389376
PRV51148,Yes,PHY346286
PRV51148,Yes,PHY415755
PRV51148,Yes,PHY406643
PRV51148,Yes,PHY419980
PRV51148,Yes,PHY348622
PRV51148,Yes,PHY406643
PRV51148,Yes,PHY421249
PRV51148,Yes,PHY383297
PRV51148,Yes,PHY383297
PRV51148,Yes,PHY325342
PRV51148,Yes,PHY348622
PRV51148,Yes,PHY405514
PRV51148,Yes,PHY316416
PRV51148,Yes,PHY382221
PRV51148,Yes,PHY405514
PRV51148,Yes,PHY428481
PRV51148,Yes,PHY334274
PRV51148,Yes,PHY412931
PRV51148,Yes,PHY396940
PRV51148,Yes,PHY322025
PRV51148,Yes,PHY405514
PRV51148,Yes,PHY322025
PRV51148,Yes,PHY348622
PRV51148,Yes,PHY410109
PRV55839,No,PHY385030
PRV55839,No,PHY316486
PRV55839,No,PHY385030
PRV55215,Yes,PHY355604
PRV55215,Yes,PHY422505
PRV55215,Yes,PHY362449
PRV55215,Yes,PHY321069
PRV55215,Yes,PHY357730
PRV55215,Yes,PHY356709
PRV55215,Yes,PHY332461
PRV55215,Yes,PHY343555
PRV55215,Yes,PHY418376
PRV55215,Yes,PHY367266
PRV55215,Yes,PHY327666
PRV55215,Yes,PHY394938
PRV55215,Yes,PHY424969
PRV55215,Yes,PHY328225
PRV55215,Yes,PHY356709
PRV55215,Yes,PHY335665
PRV55215,Yes,PHY427251
PRV55215,Yes,PHY312916
PRV55215,Yes,PHY418227
PRV55215,Yes,PHY358131
PRV55215,Yes,PHY328955
PRV55215,Yes,PHY355604
PRV55215,Yes,PHY351389
PRV55215,Yes,PHY371049
PRV55215,Yes,PHY394649
PRV55215,Yes,PHY358440
PRV55215,Yes,PHY328955
PRV55215,Yes,PHY349300
PRV55215,Yes,PHY368556
PRV55215,Yes,PHY376939
PRV55215,Yes,PHY349555
PRV55215,Yes,PHY389897
PRV55215,Yes,PHY401759
PRV55215,Yes,PHY353869
PRV55215,Yes,PHY341090
PRV55215,Yes,PHY367311
PRV55215,Yes,PHY427718
PRV55215,Yes,PHY390191
PRV55215,Yes,PHY376774
PRV55215,Yes,PHY331549
PRV55215,Yes,PHY346413
PRV55215,Yes,PHY367266
PRV55215,Yes,PHY342799
PRV55215,Yes,PHY393805
PRV55215,Yes,PHY418227
PRV55215,Yes,PHY346413
PRV55215,Yes,PHY394649
PRV55215,Yes,PHY346413
PRV55215,Yes,PHY395241
PRV55215,Yes,PHY388307
PRV55215,Yes,PHY365066
PRV55215,Yes,PHY388775
PRV55215,Yes,PHY350587
PRV55215,Yes,PHY416769
PRV55215,Yes,PHY340009
PRV55215,Yes,PHY421652
PRV55215,Yes,PHY331549
PRV55215,Yes,PHY350587
PRV55215,Yes,PHY380371
PRV55215,Yes,PHY340833
PRV55215,Yes,PHY356709
PRV55215,Yes,PHY327666
PRV55215,Yes,PHY312726
PRV55215,Yes,PHY327666
PRV55215,Yes,PHY421446
PRV55215,Yes,PHY337980
PRV55215,Yes,PHY349680
PRV55215,Yes,PHY393928
PRV55215,Yes,PHY376939
PRV55215,Yes,PHY394938
PRV55215,Yes,PHY326553
PRV55215,Yes,PHY410114
PRV55215,Yes,PHY327666
PRV55215,Yes,PHY423487
PRV55215,Yes,PHY349300
PRV55215,Yes,PHY376939
PRV55215,Yes,PHY401601
PRV55215,Yes,PHY406018
PRV55215,Yes,PHY340833
PRV55215,Yes,PHY414293
PRV55215,Yes,PHY361257
PRV55215,Yes,PHY362230
PRV55215,Yes,PHY346413
PRV55215,Yes,PHY427527
PRV55215,Yes,PHY413786
PRV55215,Yes,PHY349300
PRV55215,Yes,PHY371049
PRV55215,Yes,PHY336106
PRV55215,Yes,PHY367296
PRV55215,Yes,PHY340833
PRV55215,Yes,PHY415867
PRV55215,Yes,PHY421446
PRV55215,Yes,PHY340833
PRV55215,Yes,PHY371049
PRV55215,Yes,PHY322516
PRV55215,Yes,PHY414293
PRV55215,Yes,PHY344037
PRV55215,Yes,PHY326031
PRV55215,Yes,PHY324956
PRV55215,Yes,PHY347938
PRV55215,Yes,PHY326390
PRV55215,Yes,PHY394649
PRV55215,Yes,PHY374100
PRV55215,Yes,PHY411620
PRV55215,Yes,PHY331215
PRV55215,Yes,PHY431541
PRV55215,Yes,PHY394649
PRV55215,Yes,PHY387784
PRV55215,Yes,PHY367266
PRV55215,Yes,PHY355705
PRV55215,Yes,PHY395964
PRV55215,Yes,PHY389897
PRV55215,Yes,PHY355993
PRV55215,Yes,PHY431541
PRV55215,Yes,PHY394649
PRV55215,Yes,PHY344037
PRV55215,Yes,PHY326031
PRV55215,Yes,PHY371049
PRV55215,Yes,PHY340833
PRV55215,Yes,PHY374100
PRV55215,Yes,PHY359646
PRV55215,Yes,PHY412124
PRV55215,Yes,PHY394649
PRV55215,Yes,PHY421652
PRV55215,Yes,PHY346413
PRV55215,Yes,PHY358131
PRV55215,Yes,PHY407001
PRV55215,Yes,PHY401805
PRV55215,Yes,PHY367311
PRV55215,Yes,PHY401601
PRV55215,Yes,PHY389906
PRV55215,Yes,PHY367266
PRV55215,Yes,PHY382304
PRV55215,Yes,PHY322194
PRV55215,Yes,PHY399939
PRV55215,Yes,PHY431914
PRV55215,Yes,PHY349300
PRV55215,Yes,PHY355610
PRV55215,Yes,PHY375556
PRV55215,Yes,PHY389170
PRV55215,Yes,PHY341797
PRV55215,Yes,PHY394806
PRV55215,Yes,PHY383579
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV55193,Yes,PHY397979
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV51145,Yes,PHY329774
PRV55846,No,PHY363584
PRV55846,No,PHY321109
PRV55846,No,PHY376876
PRV55846,No,PHY321109
PRV55846,No,PHY336245
PRV55846,No,PHY374772
PRV55846,No,PHY351258
PRV55846,No,PHY396424
PRV55846,No,PHY327430
PRV55846,No,PHY317979
PRV55846,No,PHY315431
PRV55846,No,PHY393423
PRV55846,No,PHY342119
PRV55846,No,PHY342034
PRV55846,No,PHY336430
PRV55846,No,PHY421407
PRV55846,No,PHY371857
PRV55846,No,PHY337415
PRV55846,No,PHY351498
PRV55846,No,PHY395499
PRV55846,No,PHY341462
PRV55846,No,PHY317979
PRV55846,No,PHY382623
PRV55846,No,PHY338255
PRV55846,No,PHY370801
PRV55846,No,PHY327430
PRV55846,No,PHY342119
PRV55846,No,PHY432338
PRV55846,No,PHY403450
PRV55846,No,PHY421407
PRV55846,No,PHY411078
PRV55846,No,PHY421407
PRV55846,No,PHY371857
PRV55846,No,PHY431597
PRV55846,No,PHY317979
PRV55846,No,PHY317979
PRV55846,No,PHY341462
PRV55846,No,PHY339998
PRV55846,No,PHY312008
PRV55846,No,PHY312008
PRV55846,No,PHY421300
PRV55846,No,PHY329588
PRV55846,No,PHY337713
PRV55846,No,PHY373668
PRV55846,No,PHY337713
PRV55846,No,PHY397950
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY373420
PRV52283,Yes,PHY404742
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY373420
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY404742
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY373420
PRV52283,Yes,PHY373420
PRV52283,Yes,
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY373420
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY404742
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY404742
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY373420
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY404742
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY404742
PRV52283,Yes,PHY404742
PRV52283,Yes,PHY373420
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY373420
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY382905
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY432797
PRV52283,Yes,PHY404742
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY356371
PRV56588,Yes,PHY356371
PRV56588,Yes,PHY423630
PRV56588,Yes,PHY366628
PRV56588,Yes,PHY392348
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY356371
PRV56588,Yes,PHY366628
PRV56588,Yes,PHY425433
PRV56588,Yes,PHY366628
PRV56588,Yes,PHY400290
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY324286
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY366628
PRV56588,Yes,PHY386459
PRV56588,Yes,PHY407253
PRV56588,Yes,PHY324286
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY366628
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY423630
PRV56588,Yes,PHY386459
PRV56588,Yes,PHY388738
PRV56588,Yes,PHY427642
PRV56588,Yes,PHY423220
PRV56588,Yes,PHY407253
PRV56588,Yes,PHY388738
PRV56588,Yes,PHY392348
PRV56588,Yes,PHY388738
PRV56588,Yes,PHY427642
PRV56588,Yes,PHY400290
PRV56588,Yes,PHY329883
PRV56588,Yes,PHY407253
PRV56588,Yes,PHY388738
PRV56588,Yes,PHY423630
PRV56588,Yes,PHY400290
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY324286
PRV56588,Yes,PHY400290
PRV56588,Yes,PHY392348
PRV56588,Yes,PHY388738
PRV56588,Yes,PHY356371
PRV56588,Yes,PHY423630
PRV56588,Yes,PHY329883
PRV56588,Yes,PHY425433
PRV56588,Yes,PHY423630
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY423220
PRV56588,Yes,PHY401860
PRV56588,Yes,PHY388738
PRV56588,Yes,PHY427642
